legajo;cargo;fechaDesde;fechaHasta;empresa;computaParaAntig;computaParaVacac;fechaPresentacion;fechaAceptacion;
22;1;19640122;19670509;MUNICIPALIDAD DE AVELLANEDA;S;S;19990201;19990301;
22;1;19710823;19780514;MUNICIPALIDAD DE LANUS;S;S;19990201;19990301;
5193;1;19530515;19580412;ADMINISTRACION PUBLICA;S;S; ;19951231;
5193;2;19530515;19580412;ADMINISTRACION PUBLICA;S;S; ;19951231;
6007;1;19580515;19581022;MUNICIPALIDAD DE AVELLANEDA;S;S; ;19951231;
6478;1;19511211;19601231;ADMINISTRACION PUBLICA - DEC. NRO.678/70;S;S; ;19951231;
6605;1;19570205;19580313;MUNICIPALIDAD DE AVELLANEDA;N;N; ;19951231;
6605;2;19570205;19580313;MUNICIPALIDAD DE AVELLANEDA;S;S; ;19951231;
6605;1;19570205;19580313;MUNICIPALIDAD DE AVELLANEDA;N;N; ;19580313;
6605;2;19570205;19580313;MUNICIPALIDAD DE AVELLANEDA;S;S; ;19580313;
6633;1;19610502;19731228;MUNICIPALIDAD DE AVELLANEDA;S;S; ;19951231;
6646;3;19810315;19811215;MUNICIPALIDAD DE AVELLANEDA;S;S; ;19951231;
6646;3;19800315;19801215;MUNICIPALIDAD DE AVELLANEDA;S;S; ;19951231;
6646;3;19830401;19831130;MUNICIPALIDAD DE AVELLANEDA;S;S; ;19951231;
6646;3;19790315;19791215;MUNICIPALIDAD DE AVELLANEDA;S;S; ;19951231;
6646;3;19820401;19821130;MUNICIPALIDAD DE AVELLANEDA;S;S; ;19951231;
6646;3;19840319;19841214;MUNICIPALIDAD DE AVELLANEDA;S;S; ;19951231;
6850;1;19550225;19571029;MUNICIPALIDAD DE AVELLANEDA;S;S; ;19951231;
6966;1;19620330;19630930;MUNICIPALIDAD DE AVELLANEDA-DEC.629/62;S;S; ;19951231;
6966;1;19490225;19520414;ADMINISTRACION PUBLICA-DEC.761/70;S;S; ;19951231;
7014;1;19620404;19620425;MUNICIPALIDAD DE AVELLANEDA;N;N; ;19951231;
7014;2;19620404;19620424;MUNICIPALIDAD DE AVELLANEDA;N;N; ;19951231;
7126;1;19621022;19630131;MUNICIPALIDAD DE AVELLANEDA DEC.1714/62;S;S; ;19951231;
7161;1;19531028;19540316;MUNICIPALIDAD CDAD.BS.AS.-DEC.2218/94;S;S; ;19951231;
7161;1;19550730;19570401;HOSP.MILITAR CTRAL.ARGERICH-DEC.1409/94;S;S; ;19951231;
