CONCEPTO;TIPO_FORMULA;FORMULA;PLANTA_PERSONAL;DESCR_PLANTA;CANTIDAD
1001;2;1001;1;BECARIOS;958
3059;2;1;1;BECARIOS;1
0;0;0;2;C.MCA.HOSP.;1
1001;1;10012;2;C.MCA.HOSP.;260
1001;2;1;2;C.MCA.HOSP.;34
1001;5;1001;2;C.MCA.HOSP.;260
1004;1;1004;2;C.MCA.HOSP.;1181
1005;1;10051;2;C.MCA.HOSP.;260
1007;2;1;2;C.MCA.HOSP.;1
1007;3;1001;2;C.MCA.HOSP.;131
1009;1;1009;2;C.MCA.HOSP.;1065
1017;1;1017;2;C.MCA.HOSP.;80
1017;2;1;2;C.MCA.HOSP.;1
1026;2;1;2;C.MCA.HOSP.;1
1033;2;1033;2;C.MCA.HOSP.;1
1033;5;1033;2;C.MCA.HOSP.;231
1034;2;1;2;C.MCA.HOSP.;50
1035;1;1035;2;C.MCA.HOSP.;260
1035;2;1;2;C.MCA.HOSP.;6
1038;1;1038;2;C.MCA.HOSP.;29
1039;1;1038;2;C.MCA.HOSP.;1
1039;1;1039;2;C.MCA.HOSP.;15
1043;1;10432;2;C.MCA.HOSP.;256
1043;5;1043;2;C.MCA.HOSP.;256
1054;2;1;2;C.MCA.HOSP.;10
1059;2;1;2;C.MCA.HOSP.;260
1068;5;1068;2;C.MCA.HOSP.;260
1069;2;1;2;C.MCA.HOSP.;34
1069;5;1069;2;C.MCA.HOSP.;260
1070;3;1001;2;C.MCA.HOSP.;57
1072;1;1072;2;C.MCA.HOSP.;46
1072;2;1;2;C.MCA.HOSP.;1
1074;1;1074;2;C.MCA.HOSP.;272
2002;1;2002;2;C.MCA.HOSP.;44
2003;1;2003;2;C.MCA.HOSP.;44
2076;1;2076;2;C.MCA.HOSP.;44
2077;1;2077;2;C.MCA.HOSP.;44
2078;1;2078;2;C.MCA.HOSP.;44
2080;1;2080;2;C.MCA.HOSP.;44
2080;1;20801;2;C.MCA.HOSP.;44
2081;1;2081;2;C.MCA.HOSP.;44
2081;1;20811;2;C.MCA.HOSP.;44
2082;1;2082;2;C.MCA.HOSP.;44
3040;1;3040;2;C.MCA.HOSP.;270
3041;1;3041;2;C.MCA.HOSP.;273
3043;1;3043;2;C.MCA.HOSP.;41
3045;1;3045;2;C.MCA.HOSP.;4
3047;1;3047;2;C.MCA.HOSP.;8
3051;1;3051;2;C.MCA.HOSP.;12
3052;1;3052;2;C.MCA.HOSP.;101
3056;1;3056;2;C.MCA.HOSP.;3
3059;2;1;2;C.MCA.HOSP.;4
3064;1;3050;2;C.MCA.HOSP.;1
3068;2;3068;2;C.MCA.HOSP.;21
3069;2;1;2;C.MCA.HOSP.;5
3082;1;3082;2;C.MCA.HOSP.;3
3084;1;3084;2;C.MCA.HOSP.;258
3085;1;3085;2;C.MCA.HOSP.;261
3086;1;3086;2;C.MCA.HOSP.;4
3087;1;3087;2;C.MCA.HOSP.;41
3088;1;3088;2;C.MCA.HOSP.;12
3101;1;31011;2;C.MCA.HOSP.;248
3101;5;3101;2;C.MCA.HOSP.;248
4040;1;4040;2;C.MCA.HOSP.;273
4041;1;4041;2;C.MCA.HOSP.;273
4084;1;4084;2;C.MCA.HOSP.;261
4085;1;4085;2;C.MCA.HOSP.;261
5017;2;1;2;C.MCA.HOSP.;12
5041;1;50411;2;C.MCA.HOSP.;272
5052;1;1052;2;C.MCA.HOSP.;272
5075;1;50751;2;C.MCA.HOSP.;272
5101;3;5101;2;C.MCA.HOSP.;248
5101;3;5123;2;C.MCA.HOSP.;248
5102;3;5102;2;C.MCA.HOSP.;248
5103;3;5103;2;C.MCA.HOSP.;248
5103;3;5125;2;C.MCA.HOSP.;248
5104;3;5104;2;C.MCA.HOSP.;248
5104;3;5126;2;C.MCA.HOSP.;248
5105;3;5105;2;C.MCA.HOSP.;248
5106;1;5106;2;C.MCA.HOSP.;259
5107;1;51713;2;C.MCA.HOSP.;248
5107;1;51723;2;C.MCA.HOSP.;248
5107;1;51733;2;C.MCA.HOSP.;248
5109;1;5027;2;C.MCA.HOSP.;248
5109;1;51800;2;C.MCA.HOSP.;248
5109;1;51801;2;C.MCA.HOSP.;259
5109;1;51802;2;C.MCA.HOSP.;259
5109;1;51803;2;C.MCA.HOSP.;248
5109;3;5123;2;C.MCA.HOSP.;248
5110;1;51101;2;C.MCA.HOSP.;248
5111;4;81;2;C.MCA.HOSP.;259
5124;1;51093;2;C.MCA.HOSP.;248
5130;1;51301;2;C.MCA.HOSP.;260
5131;1;51301;2;C.MCA.HOSP.;519
5132;1;51304;2;C.MCA.HOSP.;519
5136;1;51305;2;C.MCA.HOSP.;519
5139;1;51311;2;C.MCA.HOSP.;248
5170;1;5171;2;C.MCA.HOSP.;259
5170;1;5172;2;C.MCA.HOSP.;259
5170;1;5173;2;C.MCA.HOSP.;259
5174;2;1;2;C.MCA.HOSP.;20
5175;2;1;2;C.MCA.HOSP.;24
5176;3;5101;2;C.MCA.HOSP.;248
5177;1;5176;2;C.MCA.HOSP.;248
5178;5;51761;2;C.MCA.HOSP.;248
5181;2;1;2;C.MCA.HOSP.;14
0;0;0;5;DOCENTES;2
