
 migrando datos... 

 INICIANDO EL PROCESO. PROCESANDO...
------------------------------;Legajo;Cargo;FechaCategoria;IdCategoria
NO se encontro empleado legajo;2;1;2005-04-20;48
NO se encontro empleado legajo;45821;1;2017-12-01;233
NO se encontro empleado legajo;47310;1;2018-08-27;226
NO se encontro empleado legajo;47876;1;2019-03-01;227
NO se encontro empleado legajo;48642;1;2020-12-01;164
NO se encontro empleado legajo;48883;1;2020-12-01;51
NO se encontro empleado legajo;48917;1;2021-01-01;184
NO se encontro empleado legajo;49024;1;2021-03-01;208
NO se encontro empleado legajo;49078;1;2021-04-01;176
NO se encontro empleado legajo;49302;1;2021-06-01;235
NO se encontro empleado legajo;49553;1;2021-11-01;233
NO se encontro empleado legajo;49868;1;2022-01-01;184
NO se encontro empleado legajo;49917;1;2022-01-01;226
NO se encontro empleado legajo;50361;1;2002-05-31;176
NO se encontro empleado legajo;50945;1;2022-11-01;161
NO se encontro empleado legajo;51137;1;2023-02-13;197
NO se encontro empleado legajo;51145;1;2023-02-13;187
NO se encontro empleado legajo;51150;1;2023-02-13;187
NO se encontro empleado legajo;51169;1;2023-03-01;4402
NO se encontro empleado legajo;51224;1;2023-03-02;176
NO se encontro empleado legajo;51241;1;2023-03-01;145
NO se encontro empleado legajo;51257;1;2023-03-01;226
NO se encontro empleado legajo;51325;1;2023-04-17;187
NO se encontro empleado legajo;51399;1;2023-06-05;187
NO se encontro empleado legajo;51434;1;2023-06-12;209
NO se encontro empleado legajo;51436;1;2023-06-09;176
NO se encontro empleado legajo;51437;1;2023-06-13;177
NO se encontro empleado legajo;51483;1;2023-07-01;188
NO se encontro empleado legajo;900001;1;2020-12-22;156
NO se encontro empleado legajo;900001;1;2020-12-22;226
NO se encontro empleado legajo;900005;1;2019-07-01;156
NO se encontro empleado legajo;900005;1;2019-07-01;226
NO se encontro empleado legajo;900008;1;2018-04-01;156
NO se encontro empleado legajo;900008;1;2018-04-01;226
NO se encontro empleado legajo;900010;1;2016-05-01;156
NO se encontro empleado legajo;900010;1;2016-05-01;226
NO se encontro empleado legajo;900019;1;2018-04-01;156
NO se encontro empleado legajo;900019;1;2018-04-01;226
NO se encontro empleado legajo;900024;1;2018-03-01;156
NO se encontro empleado legajo;900024;1;2018-03-01;226
NO se encontro empleado legajo;900031;1;2019-01-01;156
NO se encontro empleado legajo;900031;1;2019-01-01;226
NO se encontro empleado legajo;900035;1;2016-05-01;156
NO se encontro empleado legajo;900035;1;2016-05-01;226
NO se encontro empleado legajo;900037;1;2020-02-01;108
NO se encontro empleado legajo;900037;1;2020-02-01;156
NO se encontro empleado legajo;900037;1;2020-02-01;226
NO se encontro empleado legajo;900037;1;2020-02-01;4402
NO se encontro empleado legajo;900040;1;2018-09-01;156
NO se encontro empleado legajo;900040;1;2018-09-01;226
NO se encontro empleado legajo;900046;1;2019-01-01;156
NO se encontro empleado legajo;900046;1;2019-01-01;226
NO se encontro empleado legajo;900047;1;2022-07-01;156
NO se encontro empleado legajo;900047;1;2022-07-01;226
NO se encontro empleado legajo;900052;1;2017-03-01;156
NO se encontro empleado legajo;900052;1;2017-03-01;226
NO se encontro empleado legajo;900054;1;2019-05-01;156
NO se encontro empleado legajo;900054;1;2019-05-01;226
NO se encontro empleado legajo;900063;1;2021-03-01;156
NO se encontro empleado legajo;900063;1;2021-03-01;226
NO se encontro empleado legajo;900065;1;2016-05-01;156
NO se encontro empleado legajo;900065;1;2016-05-01;226
NO se encontro empleado legajo;900067;1;2019-01-01;156
NO se encontro empleado legajo;900067;1;2019-01-01;226
NO se encontro empleado legajo;900069;1;2017-08-01;156
NO se encontro empleado legajo;900069;1;2017-08-01;226
NO se encontro empleado legajo;900073;1;2018-10-01;156
NO se encontro empleado legajo;900073;1;2018-10-01;226
NO se encontro empleado legajo;900074;1;2018-04-01;156
NO se encontro empleado legajo;900074;1;2018-04-01;226
NO se encontro empleado legajo;900075;1;2020-11-01;156
NO se encontro empleado legajo;900075;1;2020-11-01;226
NO se encontro empleado legajo;900079;1;2019-03-01;156
NO se encontro empleado legajo;900079;1;2019-03-01;226
NO se encontro empleado legajo;900082;1;2018-08-01;156
NO se encontro empleado legajo;900082;1;2018-08-01;226
NO se encontro empleado legajo;900089;1;2021-03-01;156
NO se encontro empleado legajo;900089;1;2021-03-01;226
NO se encontro empleado legajo;900091;1;2020-02-01;156
NO se encontro empleado legajo;900091;1;2020-02-01;226
NO se encontro empleado legajo;900093;1;2019-03-01;156
NO se encontro empleado legajo;900093;1;2019-03-01;226
NO se encontro empleado legajo;900094;1;2018-06-01;156
NO se encontro empleado legajo;900094;1;2018-06-01;226
NO se encontro empleado legajo;900097;1;2019-06-01;156
NO se encontro empleado legajo;900097;1;2019-06-01;226
NO se encontro empleado legajo;900105;1;2016-05-01;156
NO se encontro empleado legajo;900105;1;2016-05-01;226
NO se encontro empleado legajo;900106;1;2020-03-01;156
NO se encontro empleado legajo;900106;1;2020-03-01;226
NO se encontro empleado legajo;900107;1;2019-03-01;156
NO se encontro empleado legajo;900107;1;2019-03-01;226
NO se encontro empleado legajo;900109;1;2020-03-01;156
NO se encontro empleado legajo;900109;1;2020-03-01;226
NO se encontro empleado legajo;900114;1;2020-03-01;156
NO se encontro empleado legajo;900114;1;2020-03-01;226
NO se encontro empleado legajo;900115;1;2017-03-01;156
NO se encontro empleado legajo;900115;1;2017-03-01;226
NO se encontro empleado legajo;900116;1;2020-12-28;156
NO se encontro empleado legajo;900116;1;2020-12-28;226
NO se encontro empleado legajo;900118;1;2019-01-01;156
NO se encontro empleado legajo;900118;1;2019-01-01;226
NO se encontro empleado legajo;900124;1;2016-05-01;156
NO se encontro empleado legajo;900124;1;2016-05-01;226
NO se encontro empleado legajo;900127;1;2018-07-01;156
NO se encontro empleado legajo;900127;1;2018-07-01;226
NO se encontro empleado legajo;900128;1;2019-08-01;156
NO se encontro empleado legajo;900128;1;2019-08-01;226
NO se encontro empleado legajo;900134;1;2020-12-22;156
NO se encontro empleado legajo;900134;1;2020-12-22;226
NO se encontro empleado legajo;900136;1;2019-03-01;156
NO se encontro empleado legajo;900136;1;2019-03-01;226
NO se encontro empleado legajo;900141;1;2017-03-01;156
NO se encontro empleado legajo;900141;1;2017-03-01;226
NO se encontro empleado legajo;900145;1;2018-04-01;156
NO se encontro empleado legajo;900145;1;2018-04-01;226
NO se encontro empleado legajo;900147;1;2019-01-01;156
NO se encontro empleado legajo;900147;1;2019-01-01;226
NO se encontro empleado legajo;900156;1;2019-03-01;156
NO se encontro empleado legajo;900156;1;2019-03-01;226
NO se encontro empleado legajo;900161;1;2019-03-01;156
NO se encontro empleado legajo;900161;1;2019-03-01;226
NO se encontro empleado legajo;900163;1;2018-12-01;156
NO se encontro empleado legajo;900163;1;2018-12-01;226
NO se encontro empleado legajo;900165;1;2019-06-01;156
NO se encontro empleado legajo;900165;1;2019-06-01;226
NO se encontro empleado legajo;900172;1;2018-06-01;156
NO se encontro empleado legajo;900172;1;2018-06-01;226
NO se encontro empleado legajo;900180;1;2018-07-01;156
NO se encontro empleado legajo;900180;1;2018-07-01;226
NO se encontro empleado legajo;900183;1;2018-11-01;156
NO se encontro empleado legajo;900183;1;2018-11-01;226
NO se encontro empleado legajo;900186;1;2021-01-01;156
NO se encontro empleado legajo;900186;1;2021-01-01;226
NO se encontro empleado legajo;900198;1;2018-11-01;156
NO se encontro empleado legajo;900198;1;2018-11-01;226
NO se encontro empleado legajo;900200;1;2018-05-01;156
NO se encontro empleado legajo;900200;1;2018-05-01;226
NO se encontro empleado legajo;900202;1;2018-04-01;156
NO se encontro empleado legajo;900202;1;2018-04-01;226
NO se encontro empleado legajo;900203;1;2020-12-22;156
NO se encontro empleado legajo;900203;1;2020-12-22;226
NO se encontro empleado legajo;900206;1;2021-01-01;156
NO se encontro empleado legajo;900206;1;2021-01-01;226
NO se encontro empleado legajo;900207;1;2016-05-01;156
NO se encontro empleado legajo;900207;1;2016-05-01;226
NO se encontro empleado legajo;900209;1;2018-06-01;156
NO se encontro empleado legajo;900209;1;2018-06-01;226
NO se encontro empleado legajo;900211;1;2018-06-01;156
NO se encontro empleado legajo;900211;1;2018-06-01;226
NO se encontro empleado legajo;900215;1;2022-08-01;156
NO se encontro empleado legajo;900215;1;2022-08-01;226
NO se encontro empleado legajo;900226;1;2018-05-01;156
NO se encontro empleado legajo;900226;1;2018-05-01;226
NO se encontro empleado legajo;900234;1;2019-07-01;156
NO se encontro empleado legajo;900234;1;2019-07-01;226
NO se encontro empleado legajo;900238;1;2021-01-01;156
NO se encontro empleado legajo;900238;1;2021-01-01;226
NO se encontro empleado legajo;900241;1;2019-05-01;156
NO se encontro empleado legajo;900241;1;2019-05-01;226
NO se encontro empleado legajo;900244;1;2016-05-01;156
NO se encontro empleado legajo;900244;1;2016-05-01;226
NO se encontro empleado legajo;900248;1;2019-05-01;156
NO se encontro empleado legajo;900248;1;2019-05-01;226
NO se encontro empleado legajo;900249;1;2018-04-01;156
NO se encontro empleado legajo;900249;1;2018-04-01;226
NO se encontro empleado legajo;900251;1;2019-05-01;156
NO se encontro empleado legajo;900251;1;2019-05-01;226
NO se encontro empleado legajo;900254;1;2022-07-01;156
NO se encontro empleado legajo;900254;1;2022-07-01;226
NO se encontro empleado legajo;900256;1;2019-02-01;156
NO se encontro empleado legajo;900256;1;2019-02-01;226
NO se encontro empleado legajo;900263;1;2021-01-01;156
NO se encontro empleado legajo;900263;1;2021-01-01;226
NO se encontro empleado legajo;900264;1;2021-01-01;156
NO se encontro empleado legajo;900264;1;2021-01-01;226
NO se encontro empleado legajo;900267;1;2021-01-01;156
NO se encontro empleado legajo;900267;1;2021-01-01;226
NO se encontro empleado legajo;900268;1;2018-04-01;156
NO se encontro empleado legajo;900268;1;2018-04-01;226
NO se encontro empleado legajo;900273;1;2020-05-01;156
NO se encontro empleado legajo;900273;1;2020-05-01;226
NO se encontro empleado legajo;900282;1;2020-03-01;156
NO se encontro empleado legajo;900282;1;2020-03-01;226
NO se encontro empleado legajo;900288;1;2016-05-01;156
NO se encontro empleado legajo;900288;1;2016-05-01;226
NO se encontro empleado legajo;900289;1;2018-05-01;156
NO se encontro empleado legajo;900289;1;2018-05-01;226
NO se encontro empleado legajo;900290;1;2016-05-01;156
NO se encontro empleado legajo;900290;1;2016-05-01;226
NO se encontro empleado legajo;900291;1;2018-04-01;156
NO se encontro empleado legajo;900291;1;2018-04-01;226
NO se encontro empleado legajo;900297;1;2020-12-22;156
NO se encontro empleado legajo;900297;1;2020-12-22;226
NO se encontro empleado legajo;900299;1;2016-11-01;156
NO se encontro empleado legajo;900299;1;2016-11-01;226
NO se encontro empleado legajo;900304;1;2019-05-01;156
NO se encontro empleado legajo;900304;1;2019-05-01;226
NO se encontro empleado legajo;900306;1;2019-03-01;156
NO se encontro empleado legajo;900306;1;2019-03-01;226
NO se encontro empleado legajo;900307;1;2019-03-01;156
NO se encontro empleado legajo;900307;1;2019-03-01;226
NO se encontro empleado legajo;900309;1;2017-06-01;156
NO se encontro empleado legajo;900309;1;2017-06-01;226
NO se encontro empleado legajo;900310;1;2016-08-01;156
NO se encontro empleado legajo;900310;1;2016-08-01;226
NO se encontro empleado legajo;900312;1;2021-01-01;156
NO se encontro empleado legajo;900312;1;2021-01-01;226
NO se encontro empleado legajo;900313;1;2016-05-01;156
NO se encontro empleado legajo;900313;1;2016-05-01;226
NO se encontro empleado legajo;900317;1;2018-04-01;156
NO se encontro empleado legajo;900317;1;2018-04-01;226
NO se encontro empleado legajo;900319;1;2019-05-01;156
NO se encontro empleado legajo;900319;1;2019-05-01;226
NO se encontro empleado legajo;900321;1;2021-01-01;156
NO se encontro empleado legajo;900321;1;2021-01-01;226
NO se encontro empleado legajo;900322;1;2020-03-01;156
NO se encontro empleado legajo;900322;1;2020-03-01;226
NO se encontro empleado legajo;900324;1;2021-01-01;156
NO se encontro empleado legajo;900324;1;2021-01-01;226
NO se encontro empleado legajo;900325;1;2016-05-01;156
NO se encontro empleado legajo;900325;1;2016-05-01;226
NO se encontro empleado legajo;900327;1;2021-03-01;156
NO se encontro empleado legajo;900327;1;2021-03-01;226
